analysis_role,attempts,transport_complete,exact_matches,exact_match_rate,wilson_95_low,wilson_95_high,valid_json,valid_json_rate,exact_key_sets,exact_key_set_rate,matched_fields,total_fields,field_accuracy,first_answer_p50_ms,first_answer_p95_ms,first_answer_n,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_n,usage_observed_rows,usage_missing_rows,usage_coverage_complete,prompt_tokens_known_usage_total,cache_hit_tokens_known_usage_total,cache_miss_tokens_known_usage_total,completion_tokens_known_usage_total,prompt_tokens_complete_total,cache_hit_tokens_complete_total,cache_miss_tokens_complete_total,completion_tokens_complete_total,cost_observed_rows,cost_missing_rows,cost_coverage_complete,estimated_cost_usd_cache_miss_known_usage_total,estimated_cost_usd_cache_miss_known_usage_mean,estimated_cost_usd_cache_miss_upper_bound
pilot_excluded,20,20,12,0.6,0.38658150076225317,0.7811934676271829,20,1,20,1,76,116,0.6551724137931034,1836,81262,20,2249,82329,20,20,0,true,4312998,0,4312998,1014,4312998,0,4312998,1014,20,0,true,1.240633,0.06203165,1.240633
primary_accuracy,288,288,152,0.5277777777777778,0.4701348873220347,0.5846894000312924,288,1,288,1,1194,1656,0.7210144927536232,12108,161711,288,12748,162295,288,288,0,true,116798344,0,116798344,15139,116798344,0,116798344,15139,288,0,true,33.589136,0.116628944,33.589136
india_latency_validation,36,36,26,0.7222222222222222,0.5600751000260289,0.841516620598654,36,1,36,1,189,216,0.875,3695,163124,36,4165,164039,36,36,0,true,17678126,0,17678126,1562,17678126,0,17678126,1562,36,0,true,5.08346,0.141207222,5.08346
