model_id,tier_id,attempts,transport_complete,exact_matches,exact_match_rate,wilson_95_low,wilson_95_high,valid_json,valid_json_rate,exact_key_sets,exact_key_set_rate,matched_fields,total_fields,field_accuracy,first_answer_p50_ms,first_answer_p95_ms,first_answer_n,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_n,usage_observed_rows,usage_missing_rows,usage_coverage_complete,prompt_tokens_known_usage_total,cache_hit_tokens_known_usage_total,cache_miss_tokens_known_usage_total,completion_tokens_known_usage_total,prompt_tokens_complete_total,cache_hit_tokens_complete_total,cache_miss_tokens_complete_total,completion_tokens_complete_total,cost_observed_rows,cost_missing_rows,cost_coverage_complete,estimated_cost_usd_cache_miss_known_usage_total,estimated_cost_usd_cache_miss_known_usage_mean,estimated_cost_usd_cache_miss_upper_bound
deepseek-v4-flash,128k,36,36,22,0.6111111111111112,0.44864459096605147,0.75215126934629,36,1,36,1,162,207,0.782608695652174,5563,7101,36,5988,7538,36,36,0,true,4609953,0,4609953,1574,4609953,0,4609953,1574,36,0,true,0.645852,0.017940333,0.645852
deepseek-v4-flash,32k,36,36,24,0.6666666666666666,0.5033399787115652,0.7978538117569468,36,1,36,1,157,207,0.7584541062801933,1586,2103,36,1934,2615,36,36,0,true,1153649,0,1153649,1574,1153649,0,1153649,1574,36,0,true,0.161968,0.004499111,0.161968
deepseek-v4-flash,512k,36,36,15,0.4166666666666667,0.2714056205144606,0.5779974842512834,36,1,36,1,142,207,0.6859903381642513,11295,33844,36,12387,34483,36,36,0,true,18433800,0,18433800,1562,18433800,0,18433800,1562,36,0,true,2.581188,0.071699667,2.581188
deepseek-v4-flash,950k,36,36,10,0.2777777777777778,0.1584833794013461,0.43992489997397105,36,1,36,1,123,207,0.5942028985507246,81759,90394,36,82407,91214,36,36,0,true,34201770,0,34201770,1564,34201770,0,34201770,1564,36,0,true,4.788705,0.133019583,4.788705
deepseek-v4-pro,128k,36,36,22,0.6111111111111112,0.44864459096605147,0.75215126934629,36,1,36,1,162,207,0.782608695652174,12038,20829,36,12691,21512,36,36,0,true,4609953,0,4609953,2205,4609953,0,4609953,2205,36,0,true,2.007266,0.055757389,2.007266
deepseek-v4-pro,32k,36,36,26,0.7222222222222222,0.5600751000260289,0.841516620598654,36,1,36,1,161,207,0.7777777777777778,3246,4990,36,3893,5594,36,36,0,true,1153649,0,1153649,2178,1153649,0,1153649,2178,36,0,true,0.503749,0.013993028,0.503749
deepseek-v4-pro,512k,36,36,17,0.4722222222222222,0.31986041515179053,0.629940619770124,36,1,36,1,143,207,0.6908212560386473,66688,123399,36,67351,124013,36,36,0,true,18433800,0,18433800,2241,18433800,0,18433800,2241,36,0,true,8.020669,0.222796361,8.020669
deepseek-v4-pro,950k,36,36,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,36,1,36,1,144,207,0.6956521739130435,157805,185552,36,158495,186195,36,36,0,true,34201770,0,34201770,2241,34201770,0,34201770,2241,36,0,true,14.879739,0.413326083,14.879739
