model_id,attempts,transport_complete,exact_matches,exact_match_rate,wilson_95_low,wilson_95_high,valid_json,valid_json_rate,exact_key_sets,exact_key_set_rate,matched_fields,total_fields,field_accuracy,first_answer_p50_ms,first_answer_p95_ms,first_answer_n,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_n,usage_observed_rows,usage_missing_rows,usage_coverage_complete,prompt_tokens_known_usage_total,cache_hit_tokens_known_usage_total,cache_miss_tokens_known_usage_total,completion_tokens_known_usage_total,prompt_tokens_complete_total,cache_hit_tokens_complete_total,cache_miss_tokens_complete_total,completion_tokens_complete_total,cost_observed_rows,cost_missing_rows,cost_coverage_complete,estimated_cost_usd_cache_miss_known_usage_total,estimated_cost_usd_cache_miss_known_usage_mean,estimated_cost_usd_cache_miss_upper_bound
deepseek-v4-flash,144,144,71,0.4930555555555556,0.4126463655407692,0.5738256294195508,144,1,144,1,584,828,0.7053140096618358,6608,84135,144,7123,84890,144,144,0,true,58399172,0,58399172,6274,58399172,0,58399172,6274,144,0,true,8.177713,0.056789674,8.177713
deepseek-v4-pro,144,144,81,0.5625,0.4808944747721227,0.6408575705849976,144,1,144,1,610,828,0.7367149758454107,14498,167544,144,15073,168276,144,144,0,true,58399172,0,58399172,8865,58399172,0,58399172,8865,144,0,true,25.411423,0.176468215,25.411423
