model_id,family_id,attempts,transport_complete,exact_matches,exact_match_rate,wilson_95_low,wilson_95_high,valid_json,valid_json_rate,exact_key_sets,exact_key_set_rate,matched_fields,total_fields,field_accuracy,first_answer_p50_ms,first_answer_p95_ms,first_answer_n,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_n,usage_observed_rows,usage_missing_rows,usage_coverage_complete,prompt_tokens_known_usage_total,cache_hit_tokens_known_usage_total,cache_miss_tokens_known_usage_total,completion_tokens_known_usage_total,prompt_tokens_complete_total,cache_hit_tokens_complete_total,cache_miss_tokens_complete_total,completion_tokens_complete_total,cost_observed_rows,cost_missing_rows,cost_coverage_complete,estimated_cost_usd_cache_miss_known_usage_total,estimated_cost_usd_cache_miss_known_usage_mean,estimated_cost_usd_cache_miss_upper_bound
deepseek-v4-flash,event_ordering,36,36,14,0.3888888888888889,0.24784873065371,0.5513554090339485,36,1,36,1,75,108,0.6944444444444444,6620,83352,36,7223,84190,36,36,0,true,14599424,0,14599424,1994,14599424,0,14599424,1994,36,0,true,2.044498,0.056791611,2.044498
deepseek-v4-flash,latest_version,36,36,32,0.8888888888888888,0.7468519140963513,0.9559335969968435,36,1,36,1,238,252,0.9444444444444444,6608,90394,36,7123,91214,36,36,0,true,14599626,0,14599626,1403,14599626,0,14599626,1403,36,0,true,2.044357,0.056787694,2.044357
deepseek-v4-flash,multi_hop_join,36,36,0,0,0,0.09641862859446367,36,1,36,1,78,252,0.30952380952380953,5979,83577,36,6514,84279,36,36,0,true,14600007,0,14600007,1584,14600007,0,14600007,1584,36,0,true,2.044462,0.056790611,2.044462
deepseek-v4-flash,single_record,36,36,25,0.6944444444444444,0.5314372714948966,0.8199554840517008,36,1,36,1,193,216,0.8935185185185185,6268,84135,36,6760,84890,36,36,0,true,14600115,0,14600115,1293,14600115,0,14600115,1293,36,0,true,2.044396,0.056788778,2.044396
deepseek-v4-pro,event_ordering,36,36,24,0.6666666666666666,0.5033399787115652,0.7978538117569468,36,1,36,1,87,108,0.8055555555555556,14517,168472,36,15249,169206,36,36,0,true,14599424,0,14599424,2429,14599424,0,14599424,2429,36,0,true,6.35288,0.176468889,6.35288
deepseek-v4-pro,latest_version,36,36,30,0.8333333333333334,0.6810920568872054,0.9212955240498188,36,1,36,1,236,252,0.9365079365079365,13128,171382,36,13758,172030,36,36,0,true,14599626,0,14599626,2196,14599626,0,14599626,2196,36,0,true,6.352764,0.176465667,6.352764
deepseek-v4-pro,multi_hop_join,36,36,0,0,0,0.09641862859446367,36,1,36,1,80,252,0.31746031746031744,14533,165658,36,15112,166326,36,36,0,true,14600007,0,14600007,2375,14600007,0,14600007,2375,36,0,true,6.353089,0.176474694,6.353089
deepseek-v4-pro,single_record,36,36,27,0.75,0.5892954623327166,0.8624952233700517,36,1,36,1,207,216,0.9583333333333334,13545,164240,36,14475,164926,36,36,0,true,14600115,0,14600115,1865,14600115,0,14600115,1865,36,0,true,6.35269,0.176463611,6.35269
