model_id,position_id,attempts,transport_complete,exact_matches,exact_match_rate,wilson_95_low,wilson_95_high,valid_json,valid_json_rate,exact_key_sets,exact_key_set_rate,matched_fields,total_fields,field_accuracy,first_answer_p50_ms,first_answer_p95_ms,first_answer_n,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_n,usage_observed_rows,usage_missing_rows,usage_coverage_complete,prompt_tokens_known_usage_total,cache_hit_tokens_known_usage_total,cache_miss_tokens_known_usage_total,completion_tokens_known_usage_total,prompt_tokens_complete_total,cache_hit_tokens_complete_total,cache_miss_tokens_complete_total,completion_tokens_complete_total,cost_observed_rows,cost_missing_rows,cost_coverage_complete,estimated_cost_usd_cache_miss_known_usage_total,estimated_cost_usd_cache_miss_known_usage_mean,estimated_cost_usd_cache_miss_upper_bound
deepseek-v4-flash,beginning,48,48,28,0.5833333333333334,0.4428133228397628,0.7115033222158844,48,1,48,1,206,276,0.7463768115942029,6666,83866,48,7224,84641,48,48,0,true,19466371,0,19466371,2091,19466371,0,19466371,2091,48,0,true,2.7259,0.056789583,2.7259
deepseek-v4-flash,end,48,48,23,0.4791666666666667,0.34471316176951616,0.616707676966572,48,1,48,1,184,276,0.6666666666666666,6620,84135,48,7223,84890,48,48,0,true,19466404,0,19466404,2090,19466404,0,19466404,2090,48,0,true,2.725909,0.056789771,2.725909
deepseek-v4-flash,middle,48,48,20,0.4166666666666667,0.2884966777841157,0.5571866771602373,48,1,48,1,194,276,0.7028985507246377,6253,84623,48,6780,85403,48,48,0,true,19466397,0,19466397,2093,19466397,0,19466397,2093,48,0,true,2.725904,0.056789667,2.725904
deepseek-v4-pro,beginning,48,48,31,0.6458333333333334,0.504390570103431,0.7656635587439515,48,1,48,1,207,276,0.75,14517,168472,48,15249,169206,48,48,0,true,19466371,0,19466371,2955,19466371,0,19466371,2955,48,0,true,8.470467,0.176468063,8.470467
deepseek-v4-pro,end,48,48,27,0.5625,0.42275017419827776,0.6929873095934576,48,1,48,1,208,276,0.7536231884057971,15402,164199,48,16109,164897,48,48,0,true,19466404,0,19466404,2948,19466404,0,19466404,2948,48,0,true,8.470472,0.176468167,8.470472
deepseek-v4-pro,middle,48,48,23,0.4791666666666667,0.34471316176951616,0.616707676966572,48,1,48,1,195,276,0.7065217391304348,13042,167895,48,13674,168507,48,48,0,true,19466397,0,19466397,2962,19466397,0,19466397,2962,48,0,true,8.470484,0.176468417,8.470484
